id,rz,sx,x,cx,reset,measure,u3,u2,u1,measureSuccess,u3Success,u2Success,cxSuccess,rzSuccess,u1Success,resetSuccess,xSuccess,sxSuccess,idSuccess,Machine,GraphDensity,AvgDegree,AvgConnectivity,AvgNeighborDegree,AvgClustering,AvgShortestPath,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,13,2,2,10,0,4,-1,-1,-1,0.9625,1.0,1.0,0.9808725435749985,1,1,0.9699656647493635,0.9995111620971746,0.9995111620971746,0.9995111620971746,5,0.4,1.6,1.0,1.8,0.0,2.0,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.4287109375,0.571289062425,2.072787070570918,4,0.6003913874330715,0.8309406789768066
0,-1,-1,-1,10,-1,4,2,2,9,0.9650000000000001,0.9992076029941618,0.9996036299449258,0.99256611367308,1,1,1.0,1.0,1.0,0.9996036299449258,7,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.5068359375,0.493164062425,1.9424760663760996,8,0.5144102641977625,0.7590358447330354
0,-1,-1,-1,10,-1,4,2,2,9,0.96126,1.0,1.0,0.9889306641814675,1,1,1.0,1.0,1.0,1.0,11,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.6162109375,0.38378906243,1.4825710093717206,7,0.41159763472032157,0.6557478628120594
0,13,2,2,10,0,4,-1,-1,-1,0.96566,1.0,1.0,0.9987046336893022,1,1,0.9313453596464274,0.999509747837673,0.999509747837673,0.999509747837673,18,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.76171875,0.238281249925,1.0963234793207468,8,0.2530032017829456,0.504439659436131
0,-1,-1,-1,10,-1,4,2,2,9,0.943,0.9991333878495879,0.9995663833269482,0.9973258668761604,1,1,1.0,1.0,1.0,0.9995663833269482,19,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.681640625,0.31835937493,1.2941979081754134,9,0.34357517304043617,0.5905573206240814
0,13,2,2,10,-1,4,-1,-1,-1,0.9693999999999999,1.0,1.0,0.9915309115275228,1,1,1.0,0.9994803955960198,0.9994803955960198,0.9994803955960198,26,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.7353515625,0.26464843743,1.0762628900539557,7,0.2940961381025862,0.5337951133746665
0,13,2,2,10,0,4,-1,-1,-1,0.9493199999999999,1.0,1.0,0.9832282953458744,1,1,0.872784961502177,0.9984303836499713,0.9984303836499713,0.9984303836499713,29,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.4453125,0.554687499925,1.8932106549041507,9,0.5931071766854463,0.8156896906768218
0,13,2,2,10,0,4,-1,-1,-1,0.97432,1.0,1.0,0.9952997709148018,1,1,0.9861884753432915,0.9998203750242555,0.9998203750242555,0.9998203750242555,31,0.4,1.6,1.0,1.8,0.0,2.0,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.75390625,0.24609374993,1.1132506654013308,4,0.2619081637245141,0.513258173728541
0,13,2,2,10,0,4,-1,-1,-1,0.98582,1.0,1.0,0.9931502757325131,1,1,0.9687571127892228,0.9997111642368285,0.9997111642368285,0.9997111642368285,33,0.4,1.6,1.0,1.8,0.0,2.0,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.86328125,0.13671874995,0.6405422615122093,4,0.15135143566330564,0.37647718021418475
0,-1,-1,-1,10,-1,4,2,2,9,0.8316500000000001,0.9955695571751152,0.9977847785875575,0.94949775363808,1,1,1.0,1.0,1.0,1.0,36,0.3,1.2,0.6,0.8,0.4333333333333334,0.7,5,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.2158203125,0.784179687425,2.3991853323165127,3,0.826178800936655,1.03481921184235
