id,rz,sx,x,cx,reset,measure,u1,u3,u2,AvgDegree,NumQubit,PST,TVD,Entropy,Swaps
0,-1,-1,-1,20,-1,5,30,0,9,2.5714285714285716,14,0.529296875,0.470703124855,2.6306318480295503,9
0,48,9,0,20,0,5,-1,-1,-1,4.0,16,0.7080078125,0.291992187365,2.220223670078752,9
0,-1,-1,-1,20,-1,5,30,0,9,2.75,16,1.0,0.056640625,1.0199271328943225,8
0,-1,-1,-1,20,-1,5,30,0,9,4.6,20,0.34375,0.656249999855,3.0607070032501977,9
0,-1,-1,-1,20,-1,5,30,0,9,4.6,20,0.6953125,0.30468749988,2.116458619951586,9
0,-1,-1,-1,20,-1,5,30,0,9,4.6,20,0.4990234375,0.50097656236,2.7043269664342486,9
0,-1,-1,-1,20,-1,5,30,0,9,4.6,20,0.537109375,0.46289062486,2.5752524017882,9
0,-1,-1,-1,20,-1,5,30,0,9,4.6,20,0.5712890625,0.428710937355,2.574562746970645,9
0,-1,-1,-1,20,-1,5,30,0,9,7.0,20,0.4140625,0.585937499855,2.824034602040103,12
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.662109375,0.33789062486,2.340624449450496,9
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.7705078125,0.22949218737,1.9761667578769904,9
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.7509765625,0.249023437365,2.0738932351858255,9
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.744140625,0.255859374865,1.9948738878841372,8
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.556640625,0.443359374855,2.6033430134904445,8
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.361328125,0.638671874855,3.0384008584356086,9
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.76171875,0.23828124988,1.9969987391978898,9
0,48,9,0,20,0,5,-1,-1,-1,4.148148148148148,27,0.4697265625,0.530273437355,2.689277464367707,9
0,-1,-1,-1,20,-1,5,30,0,9,4.285714285714286,28,0.4052734375,0.594726562355,2.9537751495197027,9
0,-1,-1,-1,20,-1,5,30,0,9,4.377358490566038,53,0.2060546875,0.793945312355,3.3076456855418215,9
0,48,9,0,20,0,5,-1,-1,-1,4.430769230769231,65,0.72265625,0.277343749865,2.1599150745962206,9
0,48,9,0,20,0,5,-1,-1,-1,4.430769230769231,65,0.1611328125,0.838867187355,3.3346534047102976,9
0,48,9,0,20,0,5,-1,-1,-1,4.47244094488189,127,0.537109375,0.462890624855,2.650203090384116,9
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.859375,0.14062499992,1.2615331296303784,0
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.7314453125,0.268554687405,1.7400048134224133,1
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.7578125,0.24218749991,1.5800778589878894,0
0,-1,-1,-1,4,-1,5,0,10,8,3.2,5,0.7275390625,0.27246093738,1.7643753240739783,1
0,-1,-1,-1,4,-1,5,0,10,8,3.2,5,0.697265625,0.302734374885,1.7926523761801707,2
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.767578125,0.232421874895,1.6007475913850338,1
0,-1,-1,-1,4,-1,5,0,10,8,3.2,5,0.6611328125,0.338867187415,1.7597674616076084,2
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.8701171875,0.129882812425,1.1926716601287173,0
0,46,28,0,4,-1,5,-1,-1,-1,3.2,5,0.8701171875,0.12988281242,1.2426937641809983,1
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.4970703125,0.502929687375,2.2092819512318282,2
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.865234375,0.134765624925,1.2831602213431277,0
0,46,28,0,4,0,5,-1,-1,-1,3.2,5,0.9326171875,0.067382812445,0.9829255118237403,0
0,-1,-1,-1,4,-1,5,0,10,8,2.4,5,0.3740234375,0.625976562355,2.668271591615729,0
0,46,28,0,4,-1,5,-1,-1,-1,3.2,5,0.7734375,0.2265624999,1.5981531770002153,1
0,46,28,0,4,-1,5,-1,-1,-1,3.2,5,0.7802734375,0.21972656239,1.6113302708576764,2
0,46,28,0,4,0,5,-1,-1,-1,4.8,5,0.6767578125,0.32324218739,1.865058533701449,0
0,46,28,0,4,0,5,-1,-1,-1,3.4285714285714284,7,0.8837890625,0.116210937435,1.1638241320321283,3
0,46,28,0,4,0,5,-1,-1,-1,3.4285714285714284,7,0.873046875,0.12695312492,1.2388468107992763,2
0,46,28,0,4,0,5,-1,-1,-1,3.4285714285714284,7,0.9365234375,0.063476562445,0.9742923217062847,2
0,46,28,0,4,0,5,-1,-1,-1,3.4285714285714284,7,0.849609375,0.15039062492,1.294324963847696,2
0,-1,-1,-1,4,-1,5,0,10,8,2.5714285714285716,14,0.783203125,0.216796874925,1.5088735792250234,0
0,46,28,0,4,0,5,-1,-1,-1,4.0,16,0.9072265625,0.092773437445,1.0866680988582675,2
0,-1,-1,-1,4,-1,5,0,10,8,2.75,16,1.0,0.0029296875,0.6321402997453494,0
0,-1,-1,-1,4,-1,5,0,10,8,4.6,20,0.7841796875,0.21582031241,1.4569952550682461,0
0,-1,-1,-1,4,-1,5,0,10,8,4.6,20,0.7841796875,0.215820312415,1.4906189511695938,0
0,-1,-1,-1,4,-1,5,0,10,8,4.6,20,0.6513671875,0.348632812385,1.9561510134607516,0
0,-1,-1,-1,4,-1,5,0,10,8,4.6,20,0.7099609375,0.29003906239,1.8006459341987218,0
0,-1,-1,-1,4,-1,5,0,10,8,4.6,20,0.7451171875,0.25488281241,1.6264536279880124,0
0,-1,-1,-1,4,-1,5,0,10,8,7.0,20,0.7626953125,0.23730468741,1.5962425433285674,3
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.927734375,0.072265624925,1.0315652345784074,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.939453125,0.060546874954999996,0.9463700548227131,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.95703125,0.042968749954999996,0.8753410910369738,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.919921875,0.08007812493,1.0457920878849232,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.8828125,0.11718749994,1.1882370185274143,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.8857421875,0.11425781243,1.1465849071805596,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.8740234375,0.12597656243,1.2218519991621104,2
0,46,28,0,4,0,5,-1,-1,-1,4.148148148148148,27,0.767578125,0.2324218749,1.5775338927137024,2
0,-1,-1,-1,4,-1,5,0,10,8,4.285714285714286,28,0.533203125,0.46679687487,2.2302777523745667,0
0,-1,-1,-1,4,-1,5,0,10,8,4.377358490566038,53,0.5068359375,0.493164062375,2.287466651652653,0
0,46,28,0,4,0,5,-1,-1,-1,4.430769230769231,65,0.828125,0.171874999915,1.3791054559121951,0
0,46,28,0,4,0,5,-1,-1,-1,4.430769230769231,65,0.1865234375,0.813476562375,2.4621982776114884,0
0,46,28,0,4,0,5,-1,-1,-1,4.47244094488189,127,0.8017578125,0.198242187425,1.412305010697947,0
0,-1,-1,-1,5,-1,10,1,0,20,2.5714285714285716,14,0.2646484375,0.73535156194,3.3740678712169037,10
0,41,20,0,5,0,10,-1,-1,-1,4.0,16,0.5576171875,0.44238281215499997,2.1673800855924608,14
0,-1,-1,-1,5,-1,10,1,0,20,2.75,16,1.0,0.0,-1.0000004999175666e-06,12
0,-1,-1,-1,5,-1,10,1,0,20,4.6,20,0.283203125,0.716796874525,3.137030543578684,10
0,-1,-1,-1,5,-1,10,1,0,20,4.6,20,0.4560546875,0.54394531199,2.7079653200538814,8
0,-1,-1,-1,5,-1,10,1,0,20,4.6,20,0.1748046875,0.8251953116399999,4.0904920186272955,15
0,-1,-1,-1,5,-1,10,1,0,20,4.6,20,0.1015625,0.8984374990449999,4.328372941720532,13
0,-1,-1,-1,5,-1,10,1,0,20,4.6,20,0.416015625,0.583984374495,2.84638254192368,10
